region,year,GenDebt,GDPGrowth,GenSpend,Inflation,GovRevenue,PopGrowth,UrbanPopGrowth,Unemp,AgeDepRatio,HealthSpend,MiliSpend,EduSpend,Corruption
Argentina,2012,40.44,-1.026420454,36.82142314,,33.80336754,1.027661364,1.171529002,7.217,16.61766107,9.82726669,0.784824735,5.345829964,35
Argentina,2013,43.5,2.405323781,37.60293345,,34.34910503,0.99295899,1.133331503,7.1,16.8020098,9.78097916,0.837736427,5.436610222,34
Argentina,2014,44.7,-2.512615321,38.8529315,,34.60050241,1.031743579,1.171920819,7.268,16.99765367,9.67129993,0.878100924,5.361440182,34
Argentina,2015,52.56,2.731159828,41.36633005,,35.36577202,1.047258887,1.185054365,7.449,17.21494209,10.22933674,0.850128597,5.776110172,32
Argentina,2016,53.06,-2.080327844,41.52202068,,34.86735169,0.968911126,1.104335316,7.741,17.42850603,9.85558891,0.809245363,5.545489788,36
Argentina,2017,57.03,2.818502978,41.12145402,,34.42811289,0.881249595,1.014308165,8.347,17.63604062,10.23174763,0.847754811,5.454319954,39
Argentina,2018,85.25,-2.617396463,38.94920804,,33.50806281,0.82296948,0.954764788,9.221,17.86643605,10.29146862,0.732300348,4.877739906,40
Argentina,2019,88.84,-2.000861003,38.12905762,,33.68429996,0.710900853,0.842521815,9.843,18.09943787,10.04194355,0.699696134,4.771649837,45
Argentina,2020,102.79,-9.900484814,42.47923977,,33.80516838,0.484665637,0.615028912,11.461,18.28227686,10.34701538,0.734111594,5.276899815,42
Australia,2012,27.53,3.916709425,36.50676858,1.762780156,32.99840572,1.745820001,1.865330137,5.225,21.03753432,8.67456913,1.670963965,5.559247971,85
Australia,2013,30.48,2.602193394,36.35953596,2.449888641,33.54996847,1.72115144,1.838175799,5.663,21.5386207,8.75058746,1.6391802,5.519627094,81
Australia,2014,34.04,2.595284116,36.73724798,2.487922705,33.81987674,1.491566489,1.608455102,6.078,22.02345233,9.83354282,1.773057778,5.437552452,80
