region,GenDebt
Bulgaria,23.19
Croatia,86.94
Czech Republic,37.66
Estonia,18.57
Hungary,79.25
Latvia,42
Lithuania,46.28
Poland,57.18
Romania,49.39
Slovakia,58.85
Slovenia,79.55
Argentina,102.79
Brazil,96.01
Chile,32.35
Colombia,65.72
Costa Rica,66.91
Mexico,58.51
Austria,82.92
Belgium,112.04
France,114.65
Germany,68.75
Ireland,58.06
Luxembourg,24.61
Netherlands,54.67
Israel,70.94
Japan,258.61
Singapore,149.03
South Korea,48.7
Australia,57.17
Canada,118.87
New Zealand,43.34
Switzerland,43.21
UK,104.59
USA,133.5
China,70.14
India,88.53
Indonesia,39.75
Denmark,42.28
Finland,74.74
Iceland,77.74
Norway,46.11
Sweden,39.83
South Africa,68.86
Greece,212.43
Italy,154.93
Portugal,134.9
Spain,120.27
Turkey,39.65
